questao,gabarito,enunciado,alternativas
1,B,"Lava Mae: Creating Showers on Wheels for the Homeless San Francisco, according to recent city numbers, has 4,300 people living on the streets. Among the many problems the homeless face is little or no access to showers. San Francisco only has about 16 to 20 shower stalls to accommodate them. But Doniece Sandoval has made it her mission to change that. The 51-year-old former marketing executive started Lava Mae, a sort of showers on wheels, a new project that aims to turn decommissioned city buses into shower stations for the homeless. Each bus will have two shower stations and Sandoval expects that they'll be able to provide 2,000 showers a week. ANDREANO, C. Disponível em: http://abcnews.go.com. Acesso em: 26 jun. 2015 (adaptado). relação dos vocábulos shower, bus e homeless , no texto, refere-se a ","['empregar moradores de rua em lava a jatos para ônibus. ', 'criar acesso a banhos gratuitos para moradores de rua. ', 'comissionar sem-teto para dirigir os ônibus da cidade. ', 'exigir das autoridades que os ônibus municipais tenham banheiros. ', 'abrigar dois mil moradores de rua em ônibus que foram adaptados.']"
2,B,"GLASBERGEN, R. Disponível em: www.glasbergen.com. Acesso em: 3 jul. 2015 (adaptado). No cartum, a crítica está no fato de a sociedade exigir do adolescente que ","['se aposente prematuramente. ', 'amadureça precocemente. ', 'estude aplicadamente. ', 'se forme rapidamente. ', 'ouça atentamente.']"
3,D,"Don't write in English, they said, English is not your mother tongue......The language I speakBecomes mine, its distor tions, its queerness All mine, mine alone, it is half English, half Indian, funny perhaps, but it is honest, It is as human as I am human... ...It voices my joys, my longings my Hopes... (Kamala Das, 1965:10) GARGESH, R. South Asian Englishes. In: KACHRU, B. B.; KACHRU, Y.; NELSON, C. L. (Eds.). The Handbook of World Englishes . Singapore: Blackwell, 2006. poetisa Kamala Das, como muitos escritores indianos, escreve suas obras em inglês, apesar de essa não ser sua primeira língua. Nesses versos, ela ","['usa a língua inglesa com efeito humorístico. ', 'recorre a vozes de vários escritores ingleses. ', 'adverte sobre o uso distorcido da língua inglesa. ', 'demonstra consciência de sua identidade linguística. ', 'reconhece a incompreensão na sua maneira de falar inglês.']"
4,E,"TEXTO I Free World-class Education for Anyone Anywhere The Khan Academy is an organization on a mission. We're a not-for-profit with the goal of changing education for the better by providing a free world-class education to anyone anywhere. All of the site's resources are available to anyone. The Khan Academy's materials and resources are available to you completely free of charge. Disponível em: www.khanacademy.org. Acesso em: 24 fev. 2012 (adaptado). TEXTO II I didn't have a problem with Khan Academy site until very recently. For me, the problem is the way Khan Academy is being promoted. The way the media sees it as “revolutionizing education”. The way people with power and money view education as simply “sit-and-get”. If your philosophy of education is “sit-and-get”, i.e., teaching is telling and learning is listening, then Khan Academy is way more efficient than classroom lecturing. Khan Academy does it better. But TRUE progressive educators, TRUE education visionaries and revolutionaries don't want to do these things better. We want to DO BETTER THINGS. Disponível em: http://fnoschese.wordpress.com. Acesso em: 2 mar. 2012. Com o impacto das tecnologias e a ampliação das redes sociais, consumidores encontram na internet possibilidades de opinar sobre serviços oferecidos. Nesse sentido, o segundo texto, que é um comentário sobre o site divulgado no primeiro, apresenta a intenção do autor de ","['elogiar o trabalho proposto para a educação nessa era tecnológica. ', 'reforçar como a mídia pode contribuir para revolucionar a educação. ', 'chamar a atenção das pessoas influentes para o significado da educação. ', 'destacar que o site tem melhores resultados do que a educação tradicional. ', 'criticar a concepção de educação em que se baseia a organização. *SA0175AZ2*LC - 1º dia | Caderno 1 - AZUL - Página 3']"
5,C,"1984 (excerpt) ‘Is it your opinion, Winston, that the past has real existence?’ [...] O'Brien smiled faintly. ‘I will put it more precisely. Does the past exist concretely, in space? Is there somewhere or other a place, a world of solid objects, where the past is still happening?’ ‘No.’ ‘Then where does the past exist, if at all?’ ‘In records. It is written down.’ ‘In records. And — —?’ ‘In the mind. In human memories.’ ‘In memory. Very well, then. We, the Party, control all records, and we control all memories. Then we control the past, do we not?’ ORWELL, G. Nineteen Eighty-Four . New York: Signet Classics, 1977. O romance 1984 descreve os perigos de um Estado totalitário. A ideia evidenciada nessa passagem é que o controle do Estado se dá por meio do(a) ","['boicote a ideais libertários. ', 'veto ao culto das tradições. ', 'poder sobre memórias e registros. ', 'censura a produções orais e escritas. ', 'manipulação de pensamentos individuais. LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS Questões de 01 a 45 Questões de 01 a 05 (opção espanhol)']"
1,B,"El día en que lo iban a matar, Santiago Nasar se levantó a las 5:30 de la mañana para esperar el buque en que llegaba el obispo. Había soñado que atravesaba un bosque de higuerones donde caía una llovizna tierna, y por un instante fue feliz en el sueño, pero al despertar se sintió por completo salpicado de cagada de pájaros. “Siempre soñaba con árboles”, me dijo Plácida Linero, su madre, evocando 27 años después los pormenores de aquel lunes ingrato. “La semana anterior había soñado que iba solo en un avión de papel de estaño que volaba sin tropezar por entre los almendros”, me dijo. Tenía una reputación muy bien ganada de intérprete certera de los sueños ajenos, siempre que se los contaran en ayunas, pero no había advertido ningún augurio aciago en esos dos sueños de su hijo, ni en los otros sueños con árboles que él le había contado en las mañanas que precedieron a su muerte. MÁRQUEZ, G. G. Crónica de una muerte anunciada. Disponível em: http://biblio3.url.edu.gt. Acesso em: 2 jan. 2015.Na introdução do romance, o narrador resgata lembranças de Plácida Linero relacionadas a seu filho Santiago Nasar. Nessa introdução, o uso da expressão augurio aciago remete ao(à) ","['relação mística que se estabelece entre Plácida e seu filho Santiago. ', 'destino trágico de Santiago, que Plácida foi incapaz de prever nos sonhos. ', 'descompasso entre a felicidade de Santiago nos sonhos e seu azar na realidade. ', 'crença de Plácida na importância da interpretação dos sonhos para mudar o futuro. ', 'presença recorrente de elementos sombrios que se revelam nos sonhos de Santiago.']"
2,B,"Revolución en la arquitectura china Levantar rascacielos en 19 días Un rascacielos de 57 pisos no llama la atención en la China del siglo XXI. Salvo que se haya construido en 19 días, claro. Y eso es precisamente lo que ha conseguido Broad Sustainable Building (BSB), una empresa dedicada a la fabricación de purificadores de aire y de equipos de aire acondicionado para grandes infraestructuras que ahora se ha empeñado en liderar una revolución con su propio modelo de arquitectura modular prefabricada. Como subraya su presidente, Zhang Yue, es una fórmula económica, ecológica, segura, y limpia. Ese último término, además, lo utiliza tanto para referirse al polvo que se produce en la construcción como a los gruesos sobres que suelen circular por debajo de las mesas en adjudicaciones y permisos varios. “Quiero que nuestros edificios alumbren una nueva era en la arquitectura, y que se conviertan en símbolo de la lucha contra la contaminación y el cambio climático, que es la mayor amenaza a la que se enfrenta la humanidad”, sentencia. “Es como montar un Lego. Apenas hay subcontratación, lo cual ayuda a mantener un costo bajo y un control de calidad estricto, y nos permite eliminar también la corrupción inherente al sector”, explica la vicepresidenta de BSB y responsable del mercado internacional, Jiang Yan. Disponível em: http://tecnologia.elpais.com. Acesso em: 23 jun. 2015 (adaptado). No texto, alguns dos benefícios de se utilizar estruturas pré-moldadas na construção de altos edifícios estão expressos por meio da palavra limpia . Essa expressão indica que, além de produzir menos resíduos, o uso desse tipo de estrutura ","['reduz o contingente de mão de obra. ', 'inibe a corrupção na construção civil. ', 'facilita o controle da qualidade da obra. ', 'apresenta um modelo arquitetônico conciso. ', 'otimiza os custos da construção de edifícios.*SA0175AZ3*LC - 1º dia | Caderno 1 - AZUL - Página 4']"
3,C,"¿Qué es la X Solidaria ? La X Solidaria es una equis que ayuda a las personas más vulnerables. Podrás marcarla cuando hagas la declaración de la renta. Es la casilla que se denomina “Fines Sociales”. Nosotros preferimos llamarla X Solidaria : • porque al marcarla haces que se destine un 0,7% de tus impuestos a programas sociales que realizan las ONG. • porque se benefician los colectivos más desfavorecidos, sin ningún coste económico para ti. • porque NO marcarla es tomar una actitud pasiva, y dejar que sea el Estado quien decida el destino de esa parte de tus impuestos. • porque marcándola te conviertes en contribuyente activo solidario. Disponível em: http://xsolidaria.org. Acesso em: 20 fev. 2012 (adaptado). As ações solidárias contribuem para o enfrentamento de problemas sociais. No texto, a ação solidária ocorre quando o contribuinte ","['delega ao governo o destino de seus impostos. ', 'escolhe projetos que terão isenção de impostos. ', 'destina parte de seus impostos para custeio de programas sociais. ', 'determina a criação de impostos para implantação de projetos sociais. ', 'seleciona programas para beneficiar cidadãos vulneráveis socialmente.']"
4,D,"¿Cómo gestionar la diversidad lingüística en el aula? El aprendizaje de idiomas es una de las demandas de la sociedad en la escuela: los alumnos tienen que finalizar la escolarización con un buen conocimiento, por lo menos, de las tres lenguas curriculares: catalán, castellano e inglés (o francés, portugués...). La metodología que promueve el aprendizaje integrado de idiomas en la escuela tiene en cuenta las relaciones entre las diferentes lenguas: la mejor enseñanza de una lengua incide en la mejora de todas las demás. Se trata de educar en y para la diversidad lingüística y cultural. Por eso, la V Jornada de Buenas Prácticas de Gestión del Multilingüismo, que se celebrará en Barcelona, debatirá sobre la gestión del multilingüismo en el aula. El objetivo es difundir propuestas para el aprendizaje integrado de idiomas y presentar experiencias prácticas de gestión de la diversidad lingüística presente en las aulas. Disponível em: www10.gencat.cat. Acesso em: 15 set. 2010 (adaptado).Na região da Catalunha, Espanha, convivem duas línguas oficiais: o catalão e o espanhol. Além dessas, ensinam-se outras línguas nas escolas. De acordo com o texto, para administrar a variedade linguística nas aulas, é necessário ","['ampliar o número de línguas ofertadas para enriquecer o conteúdo. ', 'divulgar o estudo de diferentes idiomas e culturas para atrair os estudantes. ', 'privilegiar o estudo de línguas maternas para valorizar os aspectos regionais. ', 'explorar as relações entre as línguas estudadas para promover a diversidade. ', 'debater as práticas sobre multilinguismo para formar melhor os professores de línguas.']"
5,B,"Mayo 15 Que mañana no sea otro nombre de hoy En el año 2011, miles de jóvenes, despojados de sus casas y de sus empleos, ocuparon las plazas y las calles de varias ciudades de España. Y la indignación se difundió. La buena salud resultó más contagiosa que las pestes, y las voces de los indignados atravesaron las fronteras dibujadas en los mapas. Así resonaron en el mundo: Nos dijeron “ ¡a la puta calle!”, y aquí estamos. Apaga la tele y enciende la calle. La llaman crisis, pero es estafa.No falta dinero: sobran ladrones.Los mercados gobiernan. Yo no los voté. Ellos toman decisiones por nosotros, sin nosotros. Se alquila esclavo económico.Estoy buscando mis derechos. ¿Alguien los ha visto? Si no nos dejan soñar, no los dejaremos dormir. GALEANO, E. Los hijos de los días . Buenos Aires: Siglo Veintiuno, 2012. Ao elencar algumas frases proferidas durante protestos na Espanha, o enunciador transcreve, de forma direta, as reivindicações dos manifestantes para ","['provocá-los de forma velada. ', 'dar voz ao movimento popular. ', 'fomentar o engajamento do leitor. ', 'favorecer o diálogo entre governo e sociedade. ', 'instaurar dúvidas sobre a legitimidade da causa.*SA0175AZ4*LC - 1º dia | Caderno 1 - AZUL - Página 5 Questões de 06 a 45']"
6,C,"“A Declaração Universal dos Direitos Humanos está completando 70 anos em tempos de desafios crescentes, quando o ódio, a discriminação e a violência permanecem vivos”, disse a diretora-geral da Organização das Nações Unidas para a Educação, a Ciência e a Cultura (Unesco), Audrey Azoulay. “Ao final da Segunda Guerra Mundial, a humanidade inteira resolveu promover a dignidade humana em todos os lugares e para sempre. Nesse espírito, as Nações Unidas adotaram a Declaração Universal dos Direitos Humanos como um padrão comum de conquistas para todos os povos e todas as nações”, disse Audrey. “Centenas de milhões de mulheres e homens são destituídos e privados de condições básicas de subsistência e de oportunidades. Movimentos populacionais forçados geram violações aos direitos em uma escala sem precedentes. A Agenda 2030 para o Desenvolvimento Sustentável promete não deixar ninguém para trás – e os direitos humanos devem ser o alicerce para todo o progresso.” Segundo ela, esse processo precisa começar o quanto antes nas carteiras das escolas. Diante disso, a Unesco lidera a educação em direitos humanos para assegurar que todas as meninas e meninos saibam seus direitos e os direitos dos outros. Disponível em: https://nacoesunidas.org. Acesso em: 3 abr. 2018 (adaptado). Defendendo a ideia de que “os direitos humanos devem ser o alicerce para todo o progresso”, a diretora-geral da Unesco aponta, como estratégia para atingir esse fim, a ","['inclusão de todos na Agenda 2030. ', 'extinção da intolerância entre os indivíduos. ', 'discussão desse tema desde a educação básica. ', 'conquista de direitos para todos os povos e nações. ', 'promoção da dignidade humana em todos os lugares.']"
7,E,"Disponível em: www.facebook.com/minsaude. Acesso em: 14 fev. 2018 (adaptado).A utilização de determinadas variedades linguísticas em campanhas educativas tem a função de atingir o público-alvo de forma mais direta e eficaz. No caso desse texto, identifica-se essa estratégia pelo(a) ","['discurso formal da língua portuguesa. ', 'registro padrão próprio da língua escrita. ', 'seleção lexical restrita à esfera da medicina. ', 'fidelidade ao jargão da linguagem publicitária. ', 'uso de marcas linguísticas típicas da oralidade.']"
8,C,"— Famigerado? [...] — Famigerado é “inóxio”, é “célebre”, “notório”, “notável”... — Vosmecê mal não veja em minha grossaria no não entender. Mais me diga: é desaforado? É caçoável? É de arrenegar? Farsância? Nome de ofensa? — Vilta nenhuma, nenhum doesto. São expressões neutras, de outros usos... — Pois... e o que é que é, em fala de pobre, linguagem de em dia de semana? — Famigerado? Bem. É: “importante”, que merece louvor, respeito... ROSA, G. Famigerado. In: Primeiras estórias . Rio de Janeiro: Nova Fronteira, 2001. Nesse texto, a associação de vocábulos da língua portuguesa a determinados dias da semana remete ao ","['local de origem dos interlocutores. ', 'estado emocional dos interlocutores. ', 'grau de coloquialidade da comunicação. ', 'nível de intimidade entre os interlocutores. ', 'conhecimento compartilh ado na comunicação.']"
9,B,"Na sociologia e na literatura, o brasileiro foi por vezes tratado como cordial e hospitaleiro, mas não é isso o que acontece nas redes sociais: a democracia racial apregoada por Gilberto Freyre passa ao largo do que acontece diariamente nas comunidades virtuais do país. Levantamento inédito realizado pelo projeto Comunica que Muda [...] mostra em números a intolerância do internauta tupiniquim. Entre abril e junho, um algoritmo vasculhou plataformas [...] atrás de mensagens e textos sobre temas sensíveis, como racismo, posicionamento político e homofobia. Foram identificadas 393 284 menções, sendo 84% delas com abordagem negativa, de exposição do preconceito e da discriminação. Disponível em: https://oglobo.globo.com. Acesso em: 6 dez. 2017 (adaptado). Ao abordar a postura do internauta brasileiro mapeada por meio de uma pesquisa em plataformas virtuais, o texto ","['minimiza o alcance da comunicação digital. ', 'refuta ideias preconcebidas sobre o brasileiro. ', 'relativiza responsabilidades sobre a noção de respeito. ', 'exemplifica conceitos contidos na literatura e na sociologia. ', 'expõe a ineficácia dos estudos para alterar tal comportamento. *SA0175AZ5*LC - 1º dia | Caderno 1 - AZUL - Página 6']"
10,A,"Quebranto às vezes sou o policial que me suspeito me peço documentos e mesmo de posse deles me prendo e me dou porrada às vezes sou o porteiro não me deixando entrar em mim mesmo a não ser pela p orta de serviço [...] às vezes faço questão de não me ver e entupido com a visão deles sinto-me a miséria concebida como um eterno começo fecho-me o cerco sendo o gesto que me nego a pinga que me bebo e me embebedo o dedo que me apontoe denuncio o ponto em que me entrego. às vezes!... CUTI. Negroesia. Belo Horizonte: Mazza, 2007 (fragmento). Na literatura de temática negra produzida no Brasil, é recorrente a presença de elementos que traduzem experiências históricas de preconceito e violência. No poema, essa vivência revela que o eu lírico ","['incorpora seletivamente o discurso do seu opressor. ', 'submete-se à discriminação como meio de fortalecimento. ', 'engaja-se na denúncia do passado de opressão e injustiças. ', 'sofre uma perda de identidade e de noção de pertencimento. ', 'acredita esporadicamente na utopia de uma sociedade igualitária.']"
11,B,"TEXTO I ALMEIDA, H. Dentro de mim, 2000. Fotografia p/b. 132 cm x 88 cm. Faculdade de Belas-Artes da Universidade de Lisboa.TEXTO II body art põe o corpo tão em evidência e o submete a experimentações tão variadas, que sua influência estende-se aos dias de hoje. Se na arte atual as possibilidades de investigação do corpo parecem ilimitadas – pode-se escolher entre representar, apresentar, ou ainda apenas evocar o corpo – isso ocorre graças ao legado dos artistas pioneiros. SILVA, P. R. Corpo na arte, body art, body modification : fronteiras. II Encontro de História da Arte: IFCH-Unicamp, 2006 (adaptado). Nos textos, a concepção de body art está relacionada à intenção de ","['estabelecer limites entre o corpo e a composição. ', 'fazer do corpo um suporte privilegiado de expressão. ', 'discutir políticas e ideologias sobre o corpo como arte. ', 'compreender a autonomia do corpo no contexto da obra. ', 'destacar o corpo do artista em contato com o expectador.']"
