questao,gabarito,enunciado,alternativas
1,D,"A Teen’s View of Social Media Instagram is made up of all photos and videos. There is the home page that showcases the posts from peopleyou follow, an explore tab which offers posts fromaccounts all over the world, and your own page, with anotification tab to show who likes and comments on yourposts. It has some downsides though. It is known to make many people feel insecure or down about themselvesbecause the platform showcases the highlights ofeveryone’s lives, while rarely showing the negatives. Thiscan make one feel like their life is not going as well asothers, contributing to the growing rates of anxiety ordepression in many teens today. There is an underlyingdesire for acceptance through the number of likes orfollowers one has. Disponível em: http://cyberbulling.org. Acesso em: 29 out. 2021. O termo “downsides” introduz a ideia de que o Instagram é responsável por ","['oferecer recursos de fotografia.', 'divulgar problemas dos usuários.', 'estimular aceitação dos seguidores.', 'provocar ansiedade nos adolescentes.', 'aproximar pessoas ao redor do mundo. Resolução Lê-se, no texto: “This can make one feel like their life is not going aswell as others, contributing to the growing rates ofanxiety or depression in many teens today.” *downsides = desvantagens Resposta: DD EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRR']"
2,C,"I tend the mobile now like an injured bird We text, text, text our significant words. I re-read your first, your second, your third, look for your small xx, feeling absurd. The codes we send arrive with a broken chord. I try to picture your hands, their image is blurred. Nothing my thumbs press will ever be heard. DUFFY , C. Disponível em: www.independent.co.uk. Acesso em: 27 out. 2021. Nesse poema, o eu lírico evidencia um sentimento de ","['contentamento com a interação virtual.', 'zelo com o envio de mensagens.', 'preocupação com a composiçao de textos.', 'mágoa com o comportamento de alguém.', 'insatisfação com uma forma de comunicação. Resolução Lê-se, no texto: “The codes we sendarrive with a broken chord.” “Nothing my thumbs press will ever be heard.” Resposta: EE EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRR']"
3,B,"Two hundred years ago, Jane Austen lived in a world where single men boasted vast estates; single ladies wereexpected to speak several languages, sing and play thepiano. In both cases, it was, of course, advantageous if youlooked good too. So, how much has – or hasn’t – changed?Dating apps opaquely outline the demands of today’srelationship market; users ruminate long and hard overtheir choice of pictures and what they write in theirbiographies to hook in potential lovers, and that’s just yourown profile. What do you look for in a future partner’sprofile – potential signifiers of a popular personality, agood job, a nice car? These apps are a poignant reminderof the often classist atitudes we still adopt, as well as thefinancial and aesthetic expectations we demand frompotential partners. GALER, S. Disponível em: bbc.com. Acesso em: 8 dez. 2017 (adaptado). O texto aborda relações interpessoais com o objetivo de ","['problematizar o papel de gênero em casamentos modernos. ', 'apontar a relevância da educação formal na escolha de parceiros. ', 'comparar a expectativa de parceiros amorosos em épocas distintas. ', 'discutir o uso de aplicativos para proporcionar encontros românticos. ', 'valorizar a importância da aparência física na seleção de pretendentes. Resolução Lê-se, no texto: “Two hundred years ago, Jane Austen lived in a worldwhere single men boasted vast estates; single ladieswere expected to speak several languages, sing andplay the piano. In both cases, it was, of course,advantageous if you looked good too. So, how muchhas – or hasn’t – changed?”“These apps are a poignant reminder of the oftenclassist atitudes we still adopt, as well as the financialand aesthetic expectations we demand from potentialpartners.” Resposta: CC EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRR']"
4,D,"As my official bio reads, I was made in Cuba, assembled is Spain, and imported to the United States –meaning my mother, seven months pregnant, and the restof my family arrived as exiles from Cuba to Madrid,where I was born. Less than two months later, weemigrated once more and settled in New York City, theneventually in Miami, where I was raised and educated.Although technically we lived in the United States, theCuban community was culturally insular in Miami duringthe 1970s, bonded together by the trauma of exile. What’smore, it seemed that practically everyone was Cuban: myteachers, my classmates, the mechanic, the bus driver. Ididn’t grow up feeling different or treated as a minority.The few kids who got picked on in my grade school werethe ones with freckles and funny last names like Dawsonand O’Neil. BLANCO, R. Disponível em: http://edition.cnn.com. Acesso em: 9 dez. 2017 (adaptado). Ao relatar suas vivências, o autor destaca o(a) ","['qualidadade da educação formal em Miami.', 'prestígio da cultura cubana nos Estados Unidos.', 'oportunidade de qualificação profissional em Miami.', 'cenário da integração de cubanos nos Estados Unidos.', 'fortalecimento do elo familiar em comunidades estadunidenses. Resolução Lê-se, no texto: “What’s more, it seemed that practically everyone wasCuban: my teachers, my classmates, the mechanic, thebus driver. I didn’t grow up feeling different or treatedas a minority. The few kids who got picked on in mygrade school were the ones with freckles and funnylast names like Dawson and O’Neil.” Resposta: DD EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRR']"
5,E,"GAULD, T. Disponível em: www.tomgauld.com. Acesso em: 25 out. 2021. Na tirinha, o comportamento da mulher expressa ","['revolta com a falta de sorte.', 'gosto pela prática da leitura.', 'receio pelo futuro do casamento.', 'entusiasmo com os livros de terror.', 'rejeição ao novo tipo de residência. Resolução As falas da personagem da tirinha enfatizam o encantamento da mesma ao se deparar com umabiblioteca à disposição e, com isso, ela não se atenta àsfalas do marido. Resposta: BB EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRROO//22002222Questões de 1 a 5 (opção espanhol)']"
1,E,"Pequeño hermano Es, no cabe duda, el instrumento más presente y más poderoso de todos los que entraron en nuestras vidas. Nila televisión ni el ordenador, no hablemos ya del obsoletofax o de las agendas o los libros electrónicos, ha tenido talinfluencia, tal predicamento sobre nosotros. El móvilsomos nosotros mismos. Todo desactivado e inerte,inocuo, ya les digo. Y de repente, tras un viaje y tres ocuatro imprudentes fotos, salta un aviso en la pantalla.Con sonido, además, pese a que tengo también todas lasalertas desactivadas. Y mi monstruo doméstico me dice:tienes um recuendo nuevo. Lo repetiré: tienes un recuerdonuevo. ¿Y tú qué sabes? ¿Y a ti, máquina demoníaca, quéte importa? ¿Cómo te atreves a decirme qué son o no sonmis recuerdos? ¿Qué es esta intromisión, este descaro?El pequeño hermano lo sabe casi todo. Sólo hay unaesperanza: que la obsolescencia programada mate antes alpequeño hermano y que nosotros sigamos vivos, con losrecuerdos que nos dé la gana. FERNÁNDES, D. Disponível em: www.lavanguardia.com. Acesso em: 5 dez. 2018 (adaptado.) No texto, o autor faz uma crítica ao(à) ","['conhecimento das pessoas sobre as tecnologias.', 'uso do celular alheio por pessoas desautorizadas.', 'funcionamento de recursos tecnológicos obsoletos.', 'ingerência do celular sobre as escolhas dos usuários.', 'falta de informação sobre a configuração dos alertas no celular. Resolução O texto afirma sobre a “intromissão” dos aparelhoscelulares ao enviar notificações de lembranças defotografias.A última frase do texto “… que la obsolescenciaprogramada mate antes al pequeño hermano y quenosotros sigamos vivos , con los recuerdos que nos déla gana.” confirma a ingerência dos celulares na vidados usuários. Resposta: DD EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRR']"
2,D,"En los suburbios de La Habana, llaman al amigo mi tierra o mi sangre . En Caracas, el amigo es mi pana o mi llave: pana , por panadería, la fuente del buen pan para las hambres del alma; y llave por... – Llave , por llave –m e dice Mario Benedetti. Y me cuenta que cuando vivia enBuenos Aires, en los tiempos del terror, él llevaba cincollaves ajenas en su llavero: cinco llaves, de cinco casas, decinco amigos: las llaves que lo salvaron. GALEANO, E. El libro de los abrazos . Madri: Sigio Veintiuno, 205. Nesse texto, o autor demonstra como as diferentes expressões existentes em espanhol para se referir a“amigo” variam em função ","['das peculiaridades dos subúrbios hispano-americanos.', 'da força da conexão espiritual entre os amigos.', 'do papel da amizade em diferentes contextos.', 'do hábito de reunir amigos em torno da mesa.', 'dos graus de intimidade entre os amigos. Resolução O texto mostra várias formas de denominar um amigo em diferentes países, em um subúrbio de Havana,Cuba, se usa “mi tierra o mi sangre”; em Caracas,Venezuela, “pana o llave”, porque o uso dessa expressãoremete ao pão que alimenta a alma. Em Buenos Aires,Argentina, Mário Benedetti explica que o uso dapalavra chave (“llave”) foi porque ele tinha a chave de5 amigos para entrar em suas casas se fosse preciso, emtempos de terror (“las llaves que lo salvaron”). Resposta: CC EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRR']"
3,C,Disponível em: www.inali.gob.mx. Acesso em: 2 dez. 2018. Esse cartaz tem a função social de ,"['difundir a arte iconográfica indígena mexicana.', 'resgatar a literatura popular produzida em língua zapoteca. ', 'questionar o conhecimento do povo mexicano sobre as línguas ameríndias. ', 'destacar o papel dos órgãos governamentais na conservação das línguas do México. ', 'defender a preservação das línguas originárias garantindo a diversidade linguística mexicana. Resolução O cartaz apresenta um provérbio em um línguaindígena mexicana (zapoteco), ressaltando que alíngua é parte da cultura e a importância de respeitá-la e preservá-la. Resposta: EE (Proverbio zapoteco) Las lenguas originarias de nuestra nación guardan gran parte de la riqueza cultural.Son parte viva de nuestro país.Si se hablan, son reconocidas y todos lasrespetamos, protegemos nuestropatrimonio nacional. EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRR']"
4,A,"MURIG. Disponível em https://murigcolectivafeminista.wordpress.com. Acesso em: 26 out. 2021 (adaptado). No texto, as palavras “crianza” e “tribu” são usadas para ","['evidenciar a importância de uma rede de apoio para as mães na criação de seus filhos. ', 'denunciar a disparidade entre o trabalho das mães de diferentes classes sociais. EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRROO//22002222', 'ressaltar o fechamento de escolas e creches durante o período pandêmico. ', 'ratificar a romantização da dedicação das mães na educação das crianças. ', 'enfatizar a proteção aos filhos em razão do isolamento social das famílias. Resolução O cartaz inicia mostrando as dificuldades das mãesem exercer a maternidade no período da pandemia,devido a falta de acesso às escolas e creches. Porém,ressalta que “maternar” nunca foi algo fácil e que acriação do filho depende das mães e que elas precisamde apoio. No final a frase “Para maternar se necesitauna tribu, la crianza no debería vivirse en soledad”comprova que as mães precisam de apoio para criarseus filhos, o que vai ao encontro do direito deigualdade das mulheres. Resposta: AA EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRR']"
5,A,"Los niños de nuestro olvido Escribo sobre um destino que apenas puedo tocaren tanto um niño se inventacon pegamento un hogar Mientiras busco las palabras para hacer esta canciónum niño esquiva las balasque buscan su corazón Acurrucado en mi calle duerme um niño y la piedadarma lejos un pesebrey juega a la navidad Arma lejos un pesebre y juega a la navidady juega a la navidady juega, y juega, y juega... La niñez de nuestro olvido pide limosna en un bary lava tu parabrisaspor un peso, por un pan Si las flores del futuro crecen con tanto dolorseguramente mañanaserá un mañana sin sol. SOSA, M. In: Corazón libre . Argentina: E.D.G.E., 2004 (fragmento). No texto, a expressão “un mañana sin sol” é usada para concluir uma crítica ao(à) ","['descaso diante da problemática de crianças em situação de rua. ', 'violência característica do cotidiano das grandes metrópoles. ', 'estímulo à mendicância nos centros urbanos.', 'tendência de informalização do trabalho.', 'falta de serviços de saúde adequados. Resolução O poema mostra a situação das crianças que moram nas ruas e pedem esmolas para sobreviver. A palavra“olvido” significa esquecimento e demonstra claramente a falta de atenção por parte da sociedade. EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRROO//22002222Essas crianças serão o futuro (“…las flores del futuro…”) que não terão um amanhã feliz (“ … unmañana sin sol”). Resposta: AA EENNEEMM -- 11..OODDIIAA-- NNOOVVEEMMBBRR']"
